combo | signoz dev / holdout | node_stats dev / holdout | combined holdout (2 runs) | combined dev | server cw
ns1-sz1b-ns1c        | [10, 10] / [7, 7] | [9, 9] / [8, 7] | 29 | 38 | 0
ns1-sz1b-ns1b        | [10, 10] / [6, 6] | [11, 11] / [8, 8] | 28 | 42 | 0
ns1-sz1c-ns1a        | [10, 10] / [7, 6] | [11, 11] / [7, 8] | 28 | 42 | 0
ns1-sz1c-ns1b        | [10, 10] / [6, 6] | [11, 11] / [8, 8] | 28 | 42 | 0
ns1-sz1b-ns1a        | [10, 10] / [6, 6] | [11, 11] / [8, 7] | 27 | 42 | 0
ns1-sz1c-ns1c        | [10, 10] / [6, 6] | [8, 9] / [7, 7] | 26 | 37 | 0
ns1-sz1c-nscontrol   | [9, 9] / [6, 6] | [6, 6] / [3, 3] | 18 | 30 | 0
ns1-sz1b-nscontrol   | [9, 9] / [5, 5] | [5, 8] / [3, 3] | 16 | 31 | 0
